id,question,choice_correct,choice_1,choice_2,choice_3
1,What is the capital of France?,Paris,Berlin,Rome,Madrid
2,What is the largest planet in our solar system?,Jupiter,Mars,Earth,Saturn
3,Who wrote 'Hamlet'?,William Shakespeare,Leo Tolstoy,Mark Twain,Charles Dickens
4,What is the chemical symbol for water?,H2O,CO2,O2,H2
5,What is the boiling point of water at sea level?,100°C,90°C,80°C,120°C
6,Which ocean is the largest?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean
7,What is the capital of Japan?,Tokyo,Kyoto,Osaka,Sapporo
8,How many continents are there?,7,5,6,8
9,Which gas do plants absorb?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen
10,Who painted the Mona Lisa?,Leonardo da Vinci,Michelangelo,Raphael,Van Gogh
11,What planet is known as the Red Planet?,Mars,Earth,Venus,Jupiter
12,Which animal is known as the King of the Jungle?,Lion,Tiger,Elephant,Leopard
13,How many degrees are in a right angle?,90,45,180,360
14,What is the tallest mountain in the world?,Mount Everest,K2,Kangchenjunga,Lhotse
15,What is the smallest prime number?,2,1,3,5
16,"Which instrument has keys, pedals, and strings?",Piano,Guitar,Violin,Drums
17,What is the capital of Italy?,Rome,Milan,Venice,Naples
18,What is the hardest natural substance?,Diamond,Gold,Iron,Quartz
19,Which planet is closest to the sun?,Mercury,Venus,Earth,Mars
20,What is the largest mammal?,Blue whale,Elephant,Giraffe,Hippopotamus
21,How many sides does a hexagon have?,6,5,7,8
22,What is the longest river in the world?,Nile River,Amazon River,Yangtze River,Mississippi River
23,What gas do humans need to breathe?,Oxygen,Carbon dioxide,Nitrogen,Helium
24,What is the capital of Canada?,Ottawa,Toronto,Vancouver,Montreal
25,Who discovered gravity?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla
26,What is the square root of 64?,8,6,7,9
27,Which metal is liquid at room temperature?,Mercury,Gold,Silver,Copper
28,What is H in the periodic table?,Hydrogen,Helium,Hassium,Holmium
29,What galaxy is Earth located in?,Milky Way,Andromeda,Triangulum,Whirlpool
30,How many days are in a leap year?,366,365,364,367
